,user_ID,group_ID,runtime,container0,container1,container2
21408,23,23,71.0,1.0,0.0,1.0
21410,100,101,5.0,0.07143,2.63906,14.0
21411,23,23,2126.0,1.0,0.0,1.0
21412,23,23,1.0,1.0,0.0,1.0
21413,174,175,12364.0,0.0025,5.99146,400.0
21415,174,175,682.0,0.002,6.21461,500.0
21417,86,87,2.0,0.00391,5.54518,256.0
21418,86,87,2097.0,0.00585,5.14166,171.0
21419,46,46,42211.0,0.00311,5.77455,322.0
21422,86,87,56631.0,0.00195,6.23832,512.0
21423,174,175,12619.0,0.0025,5.99146,400.0
21424,106,107,1686.0,0.00581,5.14749,172.0
21425,104,105,43221.0,0.0625,2.77259,16.0
21426,93,94,5904.0,0.00581,5.14749,172.0
21428,86,87,28459.0,0.03125,3.46574,32.0
21429,72,72,2.0,0.25,1.38629,4.0
21430,72,72,10.0,0.5,0.69315,2.0
21431,72,72,21.0,0.1,2.30259,10.0
21432,72,72,2.0,1.0,0.0,1.0
21433,72,72,10.0,1.0,0.0,1.0
21434,72,72,55.0,0.16667,1.79176,6.0
21435,72,72,32.0,1.0,0.0,1.0
21436,72,72,2.0,0.1,2.30259,10.0
21437,72,72,73.0,0.1,2.30259,10.0
21438,72,72,7.0,0.5,0.69315,2.0
21439,72,72,1.0,0.2,1.60944,5.0
21440,72,72,10.0,1.0,0.0,1.0
21441,72,72,12.0,0.1,2.30259,10.0
21442,72,72,10.0,1.0,0.0,1.0
21443,72,72,10.0,1.0,0.0,1.0
21444,72,72,187.0,0.5,0.69315,2.0
21445,72,72,10.0,1.0,0.0,1.0
21446,72,72,10.0,1.0,0.0,1.0
21447,72,72,10.0,0.5,0.69315,2.0
21448,72,72,13.0,0.5,0.69315,2.0
21449,72,72,10.0,0.5,0.69315,2.0
21450,72,72,10.0,0.5,0.69315,2.0
21451,72,72,11.0,0.5,0.69315,2.0
21452,72,72,31.0,1.0,0.0,1.0
21453,72,72,64.0,1.0,0.0,1.0
21454,72,72,1.0,1.0,0.0,1.0
21455,174,175,12648.0,0.0025,5.99146,400.0
21463,174,175,7270.0,0.002,6.21461,500.0
21464,86,87,638.0,0.00585,5.14166,171.0
21465,46,46,41909.0,0.00311,5.77455,322.0
21466,174,175,12242.0,0.0025,5.99146,400.0
21467,86,87,10359.0,0.00391,5.54518,256.0
21468,104,105,42624.0,0.0625,2.77259,16.0
